wikidata_site_name,repd_site_name,repd_lat,repd_long
Baillie Wind Farm,Baillie Wind Farm,58.5679210872141,-3.6770209864280097
Halsary Wind Farm,Halsary Wind Farm,58.4308997430812,-3.44444715023542
Coire Na Cloiche Wind Farm,Coire Na Cloiche Wind Farm,57.7696192113117,-4.3731605059793
Edinbane Wind Farm,Edinbane Wind Farm,57.4691268202817,-6.43220609819952
Bad a Cheo Wind Farm,Bad a Cheo Wind Farm,58.4204624832265,-3.42919300810592
Harburnhead Wind Farm,Harburnhead Wind Farm,55.8086812021795,-3.53217215831942
Hill of Glaschyle Wind Farm,Hill of Glaschyle Wind Farm,57.5105202333088,-3.61558712185594
Tralorg Wind Farm,Tralorg Wind Farm,55.2497706457218,-4.80617088573712
Tullymurdoch Wind Farm,Tullymurdoch Wind Farm,56.6549084890489,-3.31341381775329
Cour Wind Farm,Cour Wind Farm,55.6806790719388,-5.48492857765459
Middle Muir Wind Farm,Middle Muir Wind Farm,55.512885933756,-3.8040169924869
Gordonstown Hill Wind Farm,Gordonstown Hill Wind Farm,57.4619210723246,-2.48276069357478
Freasdail Wind Farm,Freasdail Wind Farm,55.7770105539331,-5.47063873681486
Assel Valley Wind Farm,Assel Valley Wind Farm,55.2264784330539,-4.77870537109877
Glenchamber Wind Farm,Glenchamber Wind Farm,54.9634204861485,-4.75433364292735
Hawkers Hill Energy Park,Hawkers Hill Energy Park,51.0134839644521,-2.21280341237794
Bloxwich Battery,Bloxwich Battery,52.5900877516467,-2.01002370166638
Griffin Wind Farm,Griffin Wind farm,56.581222522433,-3.73375237017248
Moy Wind Farm,Moy Wind Farm,57.388833752549,-4.04880127303351
Stronelairg Wind Farm,Stronelairg Wind Farm,57.126924519131,-4.52636999072241
South Kyle Wind Farm,South Kyle Wind Farm,55.317334518247506,-4.29318307521849
Dunmaglass Wind Farm,Dunmaglass Wind Farm,57.2514800694449,-4.25580233785178
Kype Muir Wind Farm,Kype Muir Wind Farm,55.6326516167126,-4.03610494281962
Creag Riabhach Wind Farm,Creag Riabhach Wind Farm,58.2193005628183,-4.51121038419776
Kennoxhead Wind Farm,Kennoxhead Wind Farm,55.4979178096152,-3.94631009189998
Afton Wind Farm,Afton Wind Farm,55.3116001968864,-4.17428302347659
Auchrobert Wind Farm,Auchrobert Wind Farm,55.6240027888923,-3.9842108334804
Glen Kyllachy Wind Farm,Glen Kyllachy Wind Farm,57.3207318659251,-4.08565012619048
Tilbury Green Power,Tilbury Green Power,51.4604029160853,0.349676612173543
Sandy Knowe Wind Farm,Sandy Knowe Wind Farm,55.3689252321309,-4.05054654721786
Sandy Knowe Wind Farm,Sandy Knowe Wind Farm,55.3721473898842,-4.05134454869843
Sandy Knowe Wind Farm,Sandy Knowe Wind Farm ,55.3721473898842,-4.05134454869843
Viking Wind Farm,Viking Wind Farm,60.3393253898048,-1.20842859197601
